Date	Open	High	Low	Close	Volume	Stock Splits
03-06-2014	5.999856949	6.079999924	5.957857132	5.965285778	171332000	0
04-06-2014	5.953713894	6.064286232	5.904285908	6.045856953	174328000	0
05-06-2014	6.053571224	6.134285927	5.979570866	6.11928606	189308000	0
06-06-2014	6.143000126	6.212714195	6.119429111	6.144713879	157304000	0
09-06-2014	6.135714054	6.152143002	6.00128603	6.0441432	166789000	0
10-06-2014	6.078856945	6.229143143	6.071713924	6.118429184	229201000	0
11-06-2014	6.074714184	6.179999828	6.071428776	6.142857075	137459000	0
12-06-2014	6.129570961	6.146429062	6.007143021	6.034999847	158032000	0
13-06-2014	6.04285717	6.112856865	5.960143089	6.110143185	157787000	0
16-06-2014	6.093286037	6.160142899	6.048857212	6.146571159	125062000	0
17-06-2014	6.257713795	6.401286125	6.253857136	6.33785677	289961000	0
18-06-2014	6.338142872	6.44028616	6.289286137	6.409714222	187866000	0
19-06-2014	6.42042923	6.421286106	6.257999897	6.305571079	173082000	0
20-06-2014	6.302856922	6.32685709	6.214000225	6.288286209	132223000	0
23-06-2014	6.276570797	6.3122859	6.222143173	6.278857231	106729000	0
24-06-2014	6.257856846	6.427713871	6.221428871	6.233714104	203672000	0
25-06-2014	6.214285851	6.353713989	6.190429211	6.345857143	157521000	0
26-06-2014	6.296999931	6.316286087	6.239285946	6.280142784	142373000	0
27-06-2014	6.261713982	6.331285954	6.248570919	6.315429211	155876000	0
30-06-2014	6.326570988	6.383856773	6.281285763	6.294285774	105889000	0
01-07-2014	6.517570972	6.766857147	6.504285812	6.758571148	379953000	0
02-07-2014	6.763999939	6.79814291	6.65771389	6.667714119	173096000	0
03-07-2014	6.716570854	6.75171423	6.698143005	6.747857094	113596000	0
07-07-2014	6.74428606	6.746142864	6.571428776	6.580286026	182966000	0
08-07-2014	6.566429138	6.585713863	6.275428772	6.357857227	261828000	0
09-07-2014	6.374000072	6.4191432	6.281857014	6.328570843	210112000	0
10-07-2014	6.205571175	6.345571041	6.117143154	6.264999866	243887000	0
11-07-2014	6.306571007	6.344714165	6.244999886	6.285142899	142191000	0
14-07-2014	6.332857132	6.506856918	6.271429062	6.465428829	174335000	0
15-07-2014	6.438428879	6.448143005	6.318142891	6.415571213	135058000	0
16-07-2014	6.486713886	6.510000229	6.334286213	6.349143028	134386000	0
17-07-2014	6.33257103	6.41214323	6.261285782	6.276570797	132664000	0
18-07-2014	6.297286034	6.347143173	6.224999905	6.345285892	117607000	0
21-07-2014	6.452713966	6.535714149	6.394570827	6.456429005	346710000	0
22-07-2014	6.328286171	6.352428913	6.072286129	6.158429146	571746000	0
23-07-2014	6.148714066	6.220142841	6.092999935	6.112856865	172676000	0
24-07-2014	6.135285854	6.145856857	5.986000061	6.07685709	186214000	0
25-07-2014	6.071428776	6.116714001	6.00571394	6.026570797	116102000	0
28-07-2014	6.031570911	6.084428787	5.97885704	6.066571236	119609000	0
29-07-2014	6.045856953	6.119856834	6.045856953	6.061142921	92820000	0
30-07-2014	6.067856789	6.218429089	6.061571121	6.205142975	152635000	0
31-07-2014	6.146571159	6.185286045	6.018428802	6.038856983	138201000	0
01-08-2014	6.025143147	6.11042881	5.893000126	6.077143192	189476000	0
04-08-2014	6.102857113	6.142857075	6.011143208	6.038570881	106869000	0
05-08-2014	6.0185709	6.114285946	6.004428864	6.040713787	106533000	0
06-08-2014	6.014286041	6.21285677	6.007856846	6.147142887	158354000	0
07-08-2014	6.218571186	6.427856922	6.207857132	6.423857212	273133000	0
08-08-2014	6.431428909	6.442429066	6.315000057	6.36928606	154952000	0
11-08-2014	6.41742897	6.537857056	6.410142899	6.45057106	132468000	0
12-08-2014	6.447856903	6.471428871	6.334428787	6.377285957	108451000	0
13-08-2014	6.408570766	6.488856792	6.383142948	6.450428963	90580000	0
14-08-2014	6.460143089	6.5	6.403142929	6.440999985	66766000	0
15-08-2014	6.449857235	6.599999905	6.408570766	6.558428764	220367000	0
18-08-2014	6.600856781	6.70714283	6.589285851	6.657143116	134960000	0
19-08-2014	6.672714233	6.721428871	6.606142998	6.687857151	108976000	0
20-08-2014	6.671429157	6.767857075	6.636285782	6.745571136	121639000	0
21-08-2014	6.732571125	6.802143097	6.681000233	6.743570805	117467000	0
